Incident Date,year,month,state,Total Number of Dead and Missing,Cause of Death,average_temp,Migration Route,geometry
2014-02-23,2014.0,2,TEXAS,1,Mixed or unknown,46.4,US-Mexico border crossing,POINT (-97.9588 27.1907)
2014-02-24,2014.0,2,ARIZONA,1,Mixed or unknown,48.2,US-Mexico border crossing,POINT (-112.7493 32.1475)
2014-02-25,2014.0,2,,1,Drowning,,US-Mexico border crossing,POINT (-98.2467 26.0724)
2014-02-28,2014.0,2,TEXAS,1,Drowning,46.4,US-Mexico border crossing,POINT (-99.4788 27.4818)
2014-03-05,2014.0,3,ARIZONA,1,Mixed or unknown,52.0,US-Mexico border crossing,POINT (-112.1146 31.789)
2014-03-06,2014.0,3,,1,Mixed or unknown,,US-Mexico border crossing,POINT (-98.3057 26.1037)
2014-03-07,2014.0,3,TEXAS,1,"Harsh environmental conditions / lack of adequate shelter, food, water",51.6,US-Mexico border crossing,POINT (-98.6292 27.2597)
2014-03-07,2014.0,3,ARIZONA,1,Mixed or unknown,52.0,US-Mexico border crossing,POINT (-112.3261 32.1386)
2014-03-12,2014.0,3,TEXAS,1,"Harsh environmental conditions / lack of adequate shelter, food, water",51.6,US-Mexico border crossing,POINT (-98.4532 27.1511)
2014-03-20,2014.0,3,TEXAS,1,Mixed or unknown,51.6,US-Mexico border crossing,POINT (-98.4517 27.1139)
2014-03-20,2014.0,3,ARIZONA,1,"Harsh environmental conditions / lack of adequate shelter, food, water",52.0,US-Mexico border crossing,POINT (-113.3852 32.3156)
2014-03-22,2014.0,3,TEXAS,1,Drowning,51.6,US-Mexico border crossing,POINT (-97.486 25.8824)
2014-03-25,2014.0,3,TEXAS,1,Vehicle accident / death linked to hazardous transport,51.6,US-Mexico border crossing,POINT (-98.1472 27.1832)
2014-03-25,2014.0,3,TEXAS,1,Vehicle accident / death linked to hazardous transport,51.6,US-Mexico border crossing,POINT (-98.1472 27.1832)
2014-03-28,2014.0,3,TEXAS,1,Vehicle accident / death linked to hazardous transport,51.6,US-Mexico border crossing,POINT (-99.3559 28.0342)
2014-03-29,2014.0,3,CALIFORNIA,1,Mixed or unknown,51.6,US-Mexico border crossing,POINT (-117.0593 32.5407)
2014-04-01,2014.0,4,TEXAS,1,"Harsh environmental conditions / lack of adequate shelter, food, water",60.1,US-Mexico border crossing,POINT (-98.2269 27.0681)
2014-04-01,2014.0,4,TEXAS,1,Mixed or unknown,60.1,US-Mexico border crossing,POINT (-98.0921 27.2086)
2014-04-05,2014.0,4,TEXAS,1,"Harsh environmental conditions / lack of adequate shelter, food, water",60.1,US-Mexico border crossing,POINT (-98.4291 27.2231)
2014-04-07,2014.0,4,TEXAS,1,"Harsh environmental conditions / lack of adequate shelter, food, water",60.1,US-Mexico border crossing,POINT (-97.8543 27.2469)
2014-04-09,2014.0,4,ARIZONA,1,Mixed or unknown,56.5,US-Mexico border crossing,POINT (-111.9419 31.8362)
2014-04-09,2014.0,4,TEXAS,1,Vehicle accident / death linked to hazardous transport,60.1,US-Mexico border crossing,POINT (-98.2731 27.3366)
2014-04-09,2014.0,4,TEXAS,1,Vehicle accident / death linked to hazardous transport,60.1,US-Mexico border crossing,POINT (-98.2731 27.3366)
2014-04-09,2014.0,4,ARIZONA,1,Mixed or unknown,56.5,US-Mexico border crossing,POINT (-112.425 32.0317)
2014-04-14,2014.0,4,ARIZONA,1,Mixed or unknown,56.5,US-Mexico border crossing,POINT (-112.2461 32.0981)
2014-04-16,2014.0,4,TEXAS,1,"Harsh environmental conditions / lack of adequate shelter, food, water",60.1,US-Mexico border crossing,POINT (-99.7013 28.2909)
2014-04-16,2014.0,4,,1,Drowning,,US-Mexico border crossing,POINT (-100.5078 28.7121)
2014-04-17,2014.0,4,ARIZONA,1,Mixed or unknown,56.5,US-Mexico border crossing,POINT (-112.1679 31.741)
2014-04-18,2014.0,4,ARIZONA,1,Mixed or unknown,56.5,US-Mexico border crossing,POINT (-113.0037 32.1886)
2014-04-26,2014.0,4,ARIZONA,1,Mixed or unknown,56.5,US-Mexico border crossing,POINT (-111.7928 31.5802)
2014-04-27,2014.0,4,TEXAS,1,Mixed or unknown,60.1,US-Mexico border crossing,POINT (-98.1618 27.1816)
